[2025-11-28T17:37:48.881Z] USER_ID: 690b2dd205fa24db583ba0a6 | USER: Unknown User | ACTION: PAYMENT_ORDER_CREATED | DETAILS: Amount: ₹4815, Course: 6929b8369dc9b76a26a3ddd9, OrderID: order_RlFGFLOt1Emu5v, TrackingID: TN-1764351468823-735, IP: ::1
[2025-11-28T17:39:46.209Z] USER_ID: 690b2dd205fa24db583ba0a6 | USER: Unknown User | ACTION: PAYMENT_VERIFIED | DETAILS: OrderID: order_RlFGFLOt1Emu5v, PaymentID: undefined, Amount: ₹481500, Verified: true, IP: ::1
[2025-11-29T05:20:40.975Z] USER_ID: 690b2dd205fa24db583ba0a6 | USER: Unknown User | ACTION: PAYMENT_ORDER_CREATED | DETAILS: Amount: ₹2052, Course: 6929eaee6794072162d37193, OrderID: order_RlREj1nAU10ZAS, TrackingID: TN-1764393640908-362, IP: ::1
[2025-11-29T05:21:04.458Z] USER_ID: 690b2dd205fa24db583ba0a6 | USER: Unknown User | ACTION: PAYMENT_VERIFIED | DETAILS: OrderID: order_RlREj1nAU10ZAS, PaymentID: undefined, Amount: ₹205200, Verified: true, IP: ::1
[2025-12-04T10:50:26.165Z] USER_ID: 690b2dd205fa24db583ba0a6 | USER: Unknown User | ACTION: PAYMENT_ORDER_CREATED | DETAILS: Amount: ₹1808.8, Course: 692d64667ce84216adad99f1, OrderID: order_RnVWf8HHqLcLjn, TrackingID: TN-1764845426105-928, IP: ::1
[2025-12-04T10:51:08.400Z] USER_ID: 690b2dd205fa24db583ba0a6 | USER: Unknown User | ACTION: PAYMENT_VERIFIED | DETAILS: OrderID: order_RnVWf8HHqLcLjn, PaymentID: undefined, Amount: ₹180880, Verified: true, IP: ::1
[2025-12-04T10:52:03.079Z] USER_ID: 690b2dd205fa24db583ba0a6 | USER: Unknown User | ACTION: PAYMENT_ORDER_CREATED | DETAILS: Amount: ₹5355, Course: 692d64667ce84216adad99f1, OrderID: order_RnVYMwFdWuY5Kh, TrackingID: TN-1764845523029-876, IP: ::1
[2025-12-04T10:53:08.114Z] USER_ID: 690b2dd205fa24db583ba0a6 | USER: Unknown User | ACTION: PAYMENT_ORDER_CREATED | DETAILS: Amount: ₹5355, Course: 692d64667ce84216adad99f1, OrderID: order_RnVZVxPk3lO9xW, TrackingID: TN-1764845588066-975, IP: ::1
[2025-12-04T11:16:32.534Z] USER_ID: 690b2dd205fa24db583ba0a6 | USER: Unknown User | ACTION: PAYMENT_ORDER_CREATED | DETAILS: Amount: ₹1808.8, Course: 692d64667ce84216adad99f1, OrderID: order_RnVyEwTLCi9tw0, TrackingID: TN-1764846992488-5, IP: ::1
[2025-12-04T11:16:53.043Z] USER_ID: 690b2dd205fa24db583ba0a6 | USER: Unknown User | ACTION: PAYMENT_VERIFIED | DETAILS: OrderID: order_RnVyEwTLCi9tw0, PaymentID: undefined, Amount: ₹180880, Verified: true, IP: ::1
[2025-12-04T11:33:23.722Z] USER_ID: 690b2dd205fa24db583ba0a6 | USER: Unknown User | ACTION: PAYMENT_ORDER_CREATED | DETAILS: Amount: ₹1808.8, Course: 692d64667ce84216adad99f1, OrderID: order_RnWG2fqgGS9L0H, TrackingID: TN-1764848003672-368, IP: ::1
[2025-12-04T11:33:47.367Z] USER_ID: 690b2dd205fa24db583ba0a6 | USER: Unknown User | ACTION: PAYMENT_VERIFIED | DETAILS: OrderID: order_RnWG2fqgGS9L0H, PaymentID: undefined, Amount: ₹180880, Verified: true, IP: ::1
[2025-12-04T11:50:38.174Z] USER_ID: 690b2dd205fa24db583ba0a6 | USER: Unknown User | ACTION: PAYMENT_ORDER_CREATED | DETAILS: Amount: ₹5355, Course: 692d64667ce84216adad99f1, OrderID: order_RnWYFr4IyXBo9g, TrackingID: TN-1764849038129-325, IP: ::1
