[2025-09-13T20:13:30.480Z] ADMIN_ID: 688a5d65da8d8a6c6456ef7c | ADMIN: LMS Admin | ACTION: LOGIN | DETAILS: UserType: ADMIN, IP: ::1
[2025-09-13T20:15:07.888Z] ADMIN_ID: 688a5d65da8d8a6c6456ef7c | ADMIN: LMS Admin | ACTION: LOGIN | DETAILS: UserType: ADMIN, IP: ::1
[2025-09-13T20:18:13.392Z] ADMIN_ID: 688a5d65da8d8a6c6456ef7c | ADMIN: LMS Admin | ACTION: LOGIN | DETAILS: UserType: ADMIN, IP: ::1
[2025-09-13T20:19:44.232Z] ADMIN_ID: 688a5d65da8d8a6c6456ef7c | ADMIN: LMS Admin | ACTION: LOGIN | DETAILS: UserType: ADMIN, IP: ::1
[2025-09-13T20:20:09.095Z] ADMIN_ID: 688a5d65da8d8a6c6456ef7c | ADMIN: LMS Admin | ACTION: LOGIN | DETAILS: UserType: ADMIN, IP: ::1
[2025-09-13T20:20:59.728Z] ADMIN_ID: 688a5d65da8d8a6c6456ef7c | ADMIN: LMS Admin | ACTION: LOGIN | DETAILS: UserType: ADMIN, IP: ::1
[2025-09-13T20:25:01.678Z] ADMIN_ID: 688a5d65da8d8a6c6456ef7c | ADMIN: LMS Admin | ACTION: LOGIN | DETAILS: UserType: ADMIN, IP: ::1
[2025-09-13T20:26:10.490Z] ADMIN_ID: 688a5d65da8d8a6c6456ef7c | ADMIN: LMS Admin | ACTION: LOGIN | DETAILS: UserType: ADMIN, IP: ::1
[2025-09-13T20:27:23.426Z] ADMIN_ID: 688a5d65da8d8a6c6456ef7c | ADMIN: LMS Admin | ACTION: LOGIN | DETAILS: UserType: ADMIN, IP: ::1
[2025-09-13T20:34:40.939Z] ADMIN_ID: 688a5d65da8d8a6c6456ef7c | ADMIN: LMS Admin | ACTION: LOGIN | DETAILS: UserType: ADMIN, IP: ::1
[2025-09-13T20:39:55.927Z] ADMIN_ID: 688a5d65da8d8a6c6456ef7c | ADMIN: LMS Admin | ACTION: LOGIN | DETAILS: UserType: ADMIN, IP: ::1
[2025-09-13T20:40:42.974Z] ADMIN_ID: 688a5d65da8d8a6c6456ef7c | ADMIN: LMS Admin | ACTION: LOGIN | DETAILS: UserType: ADMIN, IP: ::1
[2025-09-13T20:46:02.651Z] ADMIN_ID: 688a5d65da8d8a6c6456ef7c | ADMIN: LMS Admin | ACTION: LOGIN | DETAILS: UserType: ADMIN, IP: ::1
[2025-09-13T20:47:02.354Z] ADMIN_ID: 688a5d65da8d8a6c6456ef7c | ADMIN: LMS Admin | ACTION: LOGIN | DETAILS: UserType: ADMIN, IP: ::1
[2025-09-13T20:48:47.449Z] ADMIN_ID: 688a5d65da8d8a6c6456ef7c | ADMIN: LMS Admin | ACTION: LOGIN | DETAILS: UserType: ADMIN, IP: ::1
[2025-09-13T20:49:17.506Z] ADMIN_ID: 688a5d65da8d8a6c6456ef7c | ADMIN: LMS Admin | ACTION: LOGIN | DETAILS: UserType: ADMIN, IP: ::1
[2025-09-13T20:52:25.274Z] ADMIN_ID: 688a5d65da8d8a6c6456ef7c | ADMIN: LMS Admin | ACTION: LOGIN | DETAILS: UserType: ADMIN, IP: ::1
[2025-09-13T21:28:35.131Z] ADMIN_ID: 688a5d65da8d8a6c6456ef7c | ADMIN: LMS Admin | ACTION: LOGIN | DETAILS: UserType: ADMIN, IP: ::1
[2025-09-13T22:34:43.929Z] ADMIN_ID: 688a5d65da8d8a6c6456ef7c | ADMIN: LMS Admin | ACTION: LOGIN | DETAILS: UserType: ADMIN, IP: ::1
[2025-09-14T03:50:10.584Z] ADMIN_ID: 688a5d65da8d8a6c6456ef7c | ADMIN: LMS Admin | ACTION: LOGIN | DETAILS: UserType: ADMIN, IP: ::1
[2025-09-14T05:09:28.063Z] ADMIN_ID: 688a5d65da8d8a6c6456ef7c | ADMIN: LMS Admin | ACTION: LOGIN | DETAILS: UserType: ADMIN, IP: ::1
[2025-09-14T05:15:17.368Z] ADMIN_ID: 688a5d65da8d8a6c6456ef7c | ADMIN: LMS Admin | ACTION: LOGIN | DETAILS: UserType: ADMIN, IP: ::1
[2025-09-14T06:20:49.220Z] ADMIN_ID: 688a5d65da8d8a6c6456ef7c | ADMIN: LMS Admin | ACTION: LOGIN | DETAILS: UserType: ADMIN, IP: ::1
[2025-09-14T06:35:07.727Z] ADMIN_ID: 688a5d65da8d8a6c6456ef7c | ADMIN: LMS Admin | ACTION: LOGIN | DETAILS: UserType: ADMIN, IP: ::1
[2025-09-14T08:01:16.425Z] ADMIN_ID: 688a5d65da8d8a6c6456ef7c | ADMIN: LMS Admin | ACTION: LOGIN | DETAILS: UserType: ADMIN, IP: ::1
[2025-09-14T08:05:45.082Z] ADMIN_ID: 688a5d65da8d8a6c6456ef7c | ADMIN: LMS Admin | ACTION: LOGIN | DETAILS: UserType: ADMIN, IP: ::1
[2025-09-14T08:39:16.912Z] ADMIN_ID: 688a5d65da8d8a6c6456ef7c | ADMIN: LMS Admin | ACTION: LOGIN | DETAILS: UserType: ADMIN, IP: ::1
[2025-09-14T10:41:17.089Z] ADMIN_ID: 688a5d65da8d8a6c6456ef7c | ADMIN: LMS Admin | ACTION: LOGIN | DETAILS: UserType: ADMIN, IP: ::1
[2025-09-14T12:08:03.985Z] ADMIN_ID: 688a5d65da8d8a6c6456ef7c | ADMIN: LMS Admin | ACTION: LOGIN | DETAILS: UserType: ADMIN, IP: ::1
[2025-09-14T20:09:30.066Z] ADMIN_ID: 688a5d65da8d8a6c6456ef7c | ADMIN: LMS Admin | ACTION: LOGIN | DETAILS: UserType: ADMIN, IP: ::1
[2025-09-14T20:52:38.876Z] ADMIN_ID: 688a5d65da8d8a6c6456ef7c | ADMIN: LMS Admin | ACTION: LOGIN | DETAILS: UserType: ADMIN, IP: ::1
[2025-09-14T22:49:01.080Z] ADMIN_ID: 688a5d65da8d8a6c6456ef7c | ADMIN: LMS Admin | ACTION: LOGIN | DETAILS: UserType: ADMIN, IP: ::1
[2025-11-04T06:47:23.460Z] ADMIN_ID: 6909a0e187edbb932899ba8b | ADMIN: Admin User | ACTION: LOGIN | DETAILS: UserType: ADMIN, IP: ::1
[2025-11-04T08:01:45.043Z] ADMIN_ID: 6909a0e187edbb932899ba8b | ADMIN: Admin User | ACTION: LOGIN | DETAILS: UserType: ADMIN, IP: ::1
[2025-11-05T10:13:22.934Z] ADMIN_ID: 6909a0e187edbb932899ba8b | ADMIN: Admin User | ACTION: LOGIN | DETAILS: UserType: ADMIN, IP: ::1
[2025-11-05T11:00:11.213Z] ADMIN_ID: 690b2e21bf975671eca1ac34 | ADMIN: Admin User | ACTION: LOGIN | DETAILS: UserType: ADMIN, IP: ::1
[2025-11-05T11:10:11.733Z] ADMIN_ID: 690b2e21bf975671eca1ac34 | ADMIN: Admin User | ACTION: LOGIN | DETAILS: UserType: ADMIN, IP: ::1
[2025-11-05T12:12:15.365Z] ADMIN_ID: 690b2e21bf975671eca1ac34 | ADMIN: Admin User | ACTION: LOGIN | DETAILS: UserType: ADMIN, IP: ::1
[2025-11-09T20:32:40.224Z] ADMIN_ID: 690b2e21bf975671eca1ac34 | ADMIN: Admin User | ACTION: LOGIN | DETAILS: UserType: ADMIN, IP: ::1
[2025-11-22T14:58:08.804Z] ADMIN_ID: 690b2e21bf975671eca1ac34 | ADMIN: Admin User | ACTION: LOGIN | DETAILS: UserType: ADMIN, IP: ::1
[2025-11-23T07:24:12.214Z] ADMIN_ID: 688a5d65da8d8a6c6456ef7c | ADMIN: LMS Admin | ACTION: LOGIN | DETAILS: UserType: ADMIN, IP: ::1
[2025-11-23T08:28:46.159Z] ADMIN_ID: 688a5d65da8d8a6c6456ef7c | ADMIN: LMS Admin | ACTION: LOGIN | DETAILS: UserType: ADMIN, IP: ::1
[2025-11-25T04:46:09.694Z] ADMIN_ID: 688a5d65da8d8a6c6456ef7c | ADMIN: LMS Admin | ACTION: LOGIN | DETAILS: UserType: ADMIN, IP: ::1
[2025-11-25T06:43:12.137Z] ADMIN_ID: 688a5d65da8d8a6c6456ef7c | ADMIN: LMS Admin | ACTION: LOGIN | DETAILS: UserType: ADMIN, IP: ::1
[2025-11-26T11:06:15.620Z] ADMIN_ID: 688a5d65da8d8a6c6456ef7c | ADMIN: LMS Admin | ACTION: LOGIN | DETAILS: UserType: ADMIN, IP: ::1
[2025-11-26T12:07:14.575Z] ADMIN_ID: 688a5d65da8d8a6c6456ef7c | ADMIN: LMS Admin | ACTION: LOGIN | DETAILS: UserType: ADMIN, IP: ::1
[2025-11-26T13:10:24.480Z] ADMIN_ID: 688a5d65da8d8a6c6456ef7c | ADMIN: LMS Admin | ACTION: LOGIN | DETAILS: UserType: ADMIN, IP: ::1
[2025-11-28T06:25:35.980Z] ADMIN_ID: 688a5d65da8d8a6c6456ef7c | ADMIN: LMS Admin | ACTION: LOGIN | DETAILS: UserType: ADMIN, IP: ::1
[2025-11-28T06:46:23.416Z] ADMIN_ID: 688a5d65da8d8a6c6456ef7c | ADMIN: LMS Admin | ACTION: LOGIN | DETAILS: UserType: ADMIN, IP: ::1
[2025-11-28T07:47:20.267Z] ADMIN_ID: 688a5d65da8d8a6c6456ef7c | ADMIN: LMS Admin | ACTION: LOGIN | DETAILS: UserType: ADMIN, IP: ::1
[2025-11-28T07:54:03.524Z] ADMIN_ID: 688a5d65da8d8a6c6456ef7c | ADMIN: LMS Admin | ACTION: LOGIN | DETAILS: UserType: ADMIN, IP: ::1
[2025-11-28T09:00:35.673Z] ADMIN_ID: 688a5d65da8d8a6c6456ef7c | ADMIN: LMS Admin | ACTION: LOGIN | DETAILS: UserType: ADMIN, IP: ::1
[2025-11-28T09:58:43.210Z] ADMIN_ID: 690b2e21bf975671eca1ac34 | ADMIN: Admin User | ACTION: LOGIN | DETAILS: UserType: ADMIN, IP: ::1
[2025-11-28T10:36:49.442Z] ADMIN_ID: 688a5d65da8d8a6c6456ef7c | ADMIN: LMS Admin | ACTION: LOGIN | DETAILS: UserType: ADMIN, IP: ::1
[2025-11-28T11:46:53.491Z] ADMIN_ID: 690b2e21bf975671eca1ac34 | ADMIN: Admin User | ACTION: LOGIN | DETAILS: UserType: ADMIN, IP: ::1
[2025-11-28T13:06:00.372Z] ADMIN_ID: 690b2e21bf975671eca1ac34 | ADMIN: Admin User | ACTION: LOGIN | DETAILS: UserType: ADMIN, IP: ::1
[2025-11-28T14:26:22.457Z] ADMIN_ID: 690b2e21bf975671eca1ac34 | ADMIN: Admin User | ACTION: LOGIN | DETAILS: UserType: ADMIN, IP: ::1
[2025-11-28T15:39:12.776Z] ADMIN_ID: 690b2e21bf975671eca1ac34 | ADMIN: Admin User | ACTION: LOGIN | DETAILS: UserType: ADMIN, IP: ::1
[2025-11-28T16:48:02.734Z] ADMIN_ID: 690b2e21bf975671eca1ac34 | ADMIN: Admin User | ACTION: LOGIN | DETAILS: UserType: ADMIN, IP: ::1
[2025-11-28T18:30:51.597Z] ADMIN_ID: 690b2e21bf975671eca1ac34 | ADMIN: Admin User | ACTION: LOGIN | DETAILS: UserType: ADMIN, IP: ::1
[2025-11-29T05:17:53.862Z] ADMIN_ID: 690b2e21bf975671eca1ac34 | ADMIN: Admin User | ACTION: LOGIN | DETAILS: UserType: ADMIN, IP: ::1
[2025-11-29T07:33:26.768Z] ADMIN_ID: 690b2e21bf975671eca1ac34 | ADMIN: Admin User | ACTION: LOGIN | DETAILS: UserType: ADMIN, IP: ::1
[2025-11-29T07:55:15.428Z] ADMIN_ID: 690b2e21bf975671eca1ac34 | ADMIN: Admin User | ACTION: LOGIN | DETAILS: UserType: ADMIN, IP: ::1
[2025-11-29T07:57:39.912Z] ADMIN_ID: 688a5d65da8d8a6c6456ef7c | ADMIN: LMS Admin | ACTION: LOGIN | DETAILS: UserType: ADMIN, IP: ::1
[2025-11-29T08:16:57.049Z] ADMIN_ID: 690b2e21bf975671eca1ac34 | ADMIN: Admin User | ACTION: LOGIN | DETAILS: UserType: ADMIN, IP: ::1
[2025-11-29T09:17:50.662Z] ADMIN_ID: 690b2e21bf975671eca1ac34 | ADMIN: Admin User | ACTION: LOGIN | DETAILS: UserType: ADMIN, IP: ::1
[2025-12-01T09:22:43.128Z] ADMIN_ID: 690b2e21bf975671eca1ac34 | ADMIN: Admin User | ACTION: LOGIN | DETAILS: UserType: ADMIN, IP: ::1
[2025-12-01T09:45:57.145Z] ADMIN_ID: 690b2e21bf975671eca1ac34 | ADMIN: Admin User | ACTION: LOGIN | DETAILS: UserType: ADMIN, IP: ::1
[2025-12-01T10:26:52.527Z] ADMIN_ID: 692af435f4c8af6c9742a8f1 | ADMIN: AKJ Classes | ACTION: LOGIN | DETAILS: UserType: ADMIN, IP: ::1
[2025-12-04T06:44:08.855Z] ADMIN_ID: 690b2e21bf975671eca1ac34 | ADMIN: Admin User | ACTION: LOGIN | DETAILS: UserType: ADMIN, IP: ::1
[2025-12-04T08:01:02.909Z] ADMIN_ID: 69313f9b58775e777f44aa82 | ADMIN: AKJ Classes | ACTION: LOGIN | DETAILS: UserType: ADMIN, IP: ::1
[2025-12-04T08:12:28.369Z] ADMIN_ID: 6931425f0287c128c5104665 | ADMIN: AKJ Classes | ACTION: LOGIN | DETAILS: UserType: ADMIN, IP: ::1
[2025-12-04T09:15:45.707Z] ADMIN_ID: 6931425f0287c128c5104665 | ADMIN: AKJ Classes | ACTION: LOGIN | DETAILS: UserType: ADMIN, IP: ::1
[2025-12-04T10:55:06.560Z] ADMIN_ID: 6931425f0287c128c5104665 | ADMIN: AKJ Classes | ACTION: LOGIN | DETAILS: UserType: ADMIN, IP: ::1
[2025-12-04T11:43:12.396Z] ADMIN_ID: 6931425f0287c128c5104665 | ADMIN: AKJ Classes | ACTION: LOGIN | DETAILS: UserType: ADMIN, IP: ::1
[2025-12-04T13:03:39.657Z] ADMIN_ID: 6931425f0287c128c5104665 | ADMIN: AKJ Classes | ACTION: LOGIN | DETAILS: UserType: ADMIN, IP: ::1
[2025-12-05T09:09:33.355Z] ADMIN_ID: 6931425f0287c128c5104665 | ADMIN: AKJ Classes | ACTION: LOGIN | DETAILS: UserType: ADMIN, IP: ::1
[2025-12-05T10:19:37.429Z] ADMIN_ID: 6931425f0287c128c5104665 | ADMIN: AKJ Classes | ACTION: LOGIN | DETAILS: UserType: ADMIN, IP: ::1
[2025-12-05T10:25:17.666Z] ADMIN_ID: 6931425f0287c128c5104665 | ADMIN: AKJ Classes | ACTION: LOGIN | DETAILS: UserType: ADMIN, IP: ::1
[2025-12-05T10:37:05.618Z] ADMIN_ID: 6931425f0287c128c5104665 | ADMIN: AKJ Classes | ACTION: LOGIN | DETAILS: UserType: ADMIN, IP: ::1
[2025-12-05T12:00:14.228Z] ADMIN_ID: 6931425f0287c128c5104665 | ADMIN: AKJ Classes | ACTION: LOGIN | DETAILS: UserType: ADMIN, IP: ::1
[2025-12-05T15:07:34.451Z] ADMIN_ID: 6931425f0287c128c5104665 | ADMIN: AKJ Classes | ACTION: LOGIN | DETAILS: UserType: ADMIN, IP: ::1
[2025-12-05T15:09:43.249Z] ADMIN_ID: 6931425f0287c128c5104665 | ADMIN: AKJ Classes | ACTION: LOGIN | DETAILS: UserType: ADMIN, IP: ::1
[2025-12-06T14:53:00.328Z] ADMIN_ID: 6931425f0287c128c5104665 | ADMIN: AKJ Classes | ACTION: LOGIN | DETAILS: UserType: ADMIN, IP: ::1
[2025-12-06T17:51:21.637Z] ADMIN_ID: 6931425f0287c128c5104665 | ADMIN: AKJ Classes | ACTION: LOGIN | DETAILS: UserType: ADMIN, IP: ::1
[2025-12-07T04:46:45.116Z] ADMIN_ID: 6931425f0287c128c5104665 | ADMIN: AKJ Classes | ACTION: LOGIN | DETAILS: UserType: ADMIN, IP: ::1
[2025-12-07T06:05:48.950Z] ADMIN_ID: 6931425f0287c128c5104665 | ADMIN: AKJ Classes | ACTION: LOGIN | DETAILS: UserType: ADMIN, IP: ::1
[2025-12-07T06:07:27.296Z] ADMIN_ID: 6931425f0287c128c5104665 | ADMIN: AKJ Classes | ACTION: LOGIN | DETAILS: UserType: ADMIN, IP: ::1
[2025-12-08T08:29:00.652Z] ADMIN_ID: 6931425f0287c128c5104665 | ADMIN: AKJ Classes | ACTION: LOGIN | DETAILS: UserType: ADMIN, IP: ::1
[2025-12-08T09:45:20.010Z] ADMIN_ID: 6931425f0287c128c5104665 | ADMIN: AKJ Classes | ACTION: LOGIN | DETAILS: UserType: ADMIN, IP: ::1
[2025-12-08T10:00:55.643Z] ADMIN_ID: 6931425f0287c128c5104665 | ADMIN: AKJ Classes | ACTION: LOGIN | DETAILS: UserType: ADMIN, IP: ::1
[2025-12-08T10:49:55.741Z] ADMIN_ID: 6931425f0287c128c5104665 | ADMIN: AKJ Classes | ACTION: LOGIN | DETAILS: UserType: ADMIN, IP: ::1
[2026-01-06T18:08:31.559Z] ADMIN_ID: 6908e6b714e9388b62c1967e | ADMIN: Admin User | ACTION: LOGIN | DETAILS: UserType: ADMIN, IP: ::1
[2026-01-06T18:15:41.174Z] ADMIN_ID: 6943ef95ac1e8d4681c179f5 | ADMIN: AKJ Classes | ACTION: LOGIN | DETAILS: UserType: ADMIN, IP: ::1
